CTID_FIVETRAN_ID,ID,CUSTOMER_ID,ORDER_ID,ISSUE_TYPE,PRIORITY,STATUS,DESCRIPTION,CREATED_AT,RESOLVED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
TBD_TK_000015,3015,16,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-03-01 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000016,3016,17,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-02-24 00:00:00.000,2026-02-27 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000017,3017,18,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-02-19 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000018,3018,19,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-02-14 00:00:00.000,2026-02-19 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000019,3019,20,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-02-09 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000020,3020,21,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-02-04 00:00:00.000,2026-02-11 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000021,3021,22,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-01-30 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000022,3022,23,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-01-25 00:00:00.000,2026-01-27 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000023,3023,24,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-01-20 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000024,3024,25,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-01-15 00:00:00.000,2026-01-19 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000025,3025,26,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-01-10 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000026,3026,27,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-01-05 00:00:00.000,2026-01-11 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000027,3027,28,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2025-12-31 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000028,3028,29,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2025-12-26 00:00:00.000,2025-12-27 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000029,3029,30,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2025-12-21 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000030,3030,31,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2025-12-16 00:00:00.000,2025-12-19 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000031,3031,32,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2025-12-11 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000032,3032,33,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2025-12-06 00:00:00.000,2025-12-11 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000033,3033,34,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2025-12-01 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000034,3034,35,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2025-11-26 00:00:00.000,2025-12-03 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000035,3035,36,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2025-11-21 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000036,3036,37,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-05-15 00:00:00.000,2026-05-17 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000037,3037,38,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-05-10 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000038,3038,39,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-05-05 00:00:00.000,2026-05-09 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000039,3039,40,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-04-30 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000040,3040,41,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-04-25 00:00:00.000,2026-05-01 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000041,3041,42,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-04-20 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000042,3042,43,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-04-15 00:00:00.000,2026-04-16 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000043,3043,44,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-04-10 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000044,3044,45,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-04-05 00:00:00.000,2026-04-08 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000045,3045,46,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-03-31 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000046,3046,47,,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-03-26 00:00:00.000,2026-03-31 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000047,3047,48,,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-03-21 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000048,3048,49,,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-03-16 00:00:00.000,2026-03-23 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000049,3049,50,,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-03-11 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
